Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Забарний;Устим;Петрович;male;1982-10-04;Скульптор;місто Прилуки;вулиця Венгера, буд. 60, Переяслав, 60135;313-37-35;iaroslavadankevych@example.org
Дзиндра;Галина;Максимівна;female;1976-05-11;Кінорежисер;село Гайворон;сквер Базарна, буд. 76, Українськ, 11727;751-10-60;les57@example.com
Корж;Віолетта;Володимирівна;female;1942-01-05;Продюсер;село Новомосковськ;набережна Бучми, буд. 2, Куп'янськ, 02267;+380 10 329-16-87;hordii76@example.net
Єщенко;Роман;Геннадійович;male;2003-06-25;Хімік;хутір Кілія;узвіз Моторний 3-й, буд. 86, Черкаси, 53844;+380 (05) 471-17-17;frankotetiana@example.com
Голик;Арсен;Степанович;male;1985-11-30;Мовознавець;селище Голубівка;вулиця Східний 1-й, буд. 072, Довжанськ, 33770;+380 61 306-01-48;snizhana85@example.net
Дашенко;Василь;Романович;male;1967-11-22;Кіноактор;село Синельникове;узвіз Проектна 2-га, буд. 71 кв. 64, Звенигородка, 17285;+380 38 968 81 28;rkorzh@example.org
Ісаєнко;Франц;Олександрович;male;1964-06-20;Мірошник;селище Кролевець;шосе Флотська, буд. 5 кв. 308, Рахів, 35004;+380 74 996 65 97;borys45@example.org
Артюшенко;Тереза;Сергіївна;female;1984-08-07;Детектив;хутір Могилів-Подільський;вулиця Прохоровський, буд. 4, Снігурівка, 67656;+380 70 392 98 44;martakorolenko@example.com
Рябченко;Михайлина;Іванівна;female;1964-07-28;Астронавт;хутір Зоринськ;шосе Трудовий, буд. 7 кв. 9, Бахчисарай, 99490;016 763 03 55;vitrukvolodymyr@example.org
Полтавець;Пармен;Анатолійович;male;1996-03-25;Художник;хутір Молодогвардійськ;площа Бернардацці, буд. 471, Луцьк, 47034;028 26 77;iosyp70@example.net
Бабич;Орина;Олександрівна;female;1953-05-07;Живописець;хутір Дружківка;площа Виноградний тупик, буд. 059, Дунаївці, 15177;048-64-54;hlibmedvedenko@example.net
Фаренюк;Володимир;Юрійович;male;1955-08-26;Мистецтвознавець;селище Дніпрорудне;провулок Головна, буд. 5 кв. 7, Гайворон, 83775;+380 73 905 90 70;pylypenkoliubov@example.net
Дахно;Альберт;Петрович;male;1962-11-12;Штукатур;місто Бунге ;проспект Юннатів 3-й, буд. 38 кв. 9, Вугледар, 49490;+380 37 514 11 02;emiliiaisaievych@example.com
Ляшко;Мілена;Сергіївна;female;1957-08-24;Агроном;місто Амвросіївка;проспект Художника Федорова, буд. 500, Івано-Франківськ, 96772;546-64-72;liudmyla29@example.net
Зубко;Олена;Дмитрівна;female;1966-04-05;Слідчий;селище Косів;узвіз Якірний, буд. 62, Галич, 39885;+380 (85) 040-04-51;ualeksiuk@example.com
Атрощенко;Вікторія;Максимівна;female;1949-11-15;Сантехнік;хутір Соснівка ;сквер Марата, буд. 30, Кам'янка-Дніпровська, 26727;008 64 71;zbandurka@example.net
Бандура;Святослава;Дмитрівна;female;1939-05-07;Бібліотекар;хутір Сарни;набережна Рощева, буд. 9 кв. 37, Галич, 46558;332 16 69;oleksandrabramchuk@example.net
Захарченко;Ярослава;Анатоліївна;female;1980-05-07;Редактор;місто Алчевськ;шосе 6-та Суворовська, буд. 37, Свалява, 35945;+380 20 989-65-79;dashkevychkostiantyn@example.net
Сиротенко;Лариса;Олегівна;female;1973-04-02;Філолог;хутір Судак ;площа Орликова, буд. 0, Здолбунів, 52270;+380 75 822-69-48;landreiko@example.net
Андріїшин;Алевтин;Євгенович;male;1975-07-13;Кушнір;селище Борислав;узвіз Цимлянська, буд. 05 кв. 488, Авдіївка, 81032;+380 80 471-30-66;priska03@example.net
Голик;Любов;Василівна;female;1983-01-02;Епідеміолог;хутір Приморськ (Україна);шосе Поштовий, буд. 68 кв. 95, Новояворівськ, 40576;030 436-25-78;roman97@example.com
Матяш;Спас;Романович;male;2002-06-20;Публіцист;селище Харцизьк;парк Мацієвської, буд. 4 кв. 410, Підгородне, 09727;958-27-50;artemdanchuk@example.com
Вишиваний;Леонтій;Євгенович;male;1946-11-11;Електромонтажник;місто Соснівка ;набережна Астрономічна, буд. 2, Святогірськ, 97828;017 042 34 64;zynovii57@example.net
Гоголь;Альберт;Юрійович;male;1948-05-25;Піаніст;село Великі Мости;набережна Ползунова 1-й, буд. 999 кв. 9, Зоринськ, 54707;+380 14 375-92-83;piatachenkoanton@example.com
Андрієнко;Леопольд;Максимович;male;1976-02-08;Льотчик;селище Вилкове;проспект Ювілейний 1-й, буд. 675, Благовіщенське, 50977;+380 97 424-75-41;habelkokostiantyn@example.org
Вергун;Богодар;Ілліч;male;1953-03-30;Мікробіолог;хутір Долинська;набережна Осипова, буд. 4 кв. 58, Галич, 29520;+380 80 172-70-98;stepanparasiuk@example.com
Адамчук;Амалія;Анатоліївна;female;1985-07-03;Менеджер;місто Тиврів;вулиця Весняна, буд. 113 кв. 0, Дружба , 72457;934 56 94;roksolanashovkoplias@example.org
Ющенко;Василь;Богданович;male;1989-06-03;Археолог;село Дніпрорудне;сквер Онезька, буд. 42 кв. 46, Березівка, 65399;+380 34 132-52-36;yzakharenko@example.net
Шморгун;Михайло;Ілліч;male;1952-09-17;Продюсер;село Балаклія;площа Мала Арнаутська, буд. 329 кв. 5, Суходільськ, 45047;+380 17 779-20-73;khoma54@example.org
Теличенко;Онисим;Дмитрович;male;1999-01-30;Фермер;хутір Хрустальний;парк Мостовий, буд. 6, Чоп, 30718;862-38-75;ostap13@example.com
Редько;Антон;Володимирович;male;1968-01-13;Музикознавець;місто Арциз;парк Макаренка, буд. 54 кв. 01, Добропілля, 68559;037 614-54-38;lytvynenkovitalii@example.org
Чабан;Ада;Володимирівна;female;1938-11-08;Паблік рилейшнз;хутір Сватове;проспект Вірського, буд. 1, Підгайці, 36942;+380 18 241-13-08;snazarenko@example.net
Абрамчук;Марʼяна;Романівна;female;1981-10-14;Агроном;місто Кременчук;узвіз Водопровідний 1-й, буд. 98 кв. 04, Новодністровськ, 26643;084 347 30 87;boleslavchalyi@example.org
Шеремет;Маруся;Миколаївна;female;2001-01-13;Науковець;селище Вільногірськ;шосе Путьова, буд. 701 кв. 52, Гірське, 84066;+380 14 310-35-25;iaremafomenko@example.org
Сич;Одарка;Володимирівна;female;1985-04-09;Акушер;місто Міусинськ;набережна Бучми, буд. 98 кв. 7, Лозова , 17043;148 30 57;hryhoriichumachenko@example.net
Байрак;Марина;Миколаївна;female;1971-05-18;Складальник;місто Кагарлик;парк 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 546, Саки , 02224;+380 44 660-77-61;eduardsomko@example.com
Дрозд;Костянтин;Петрович;male;2003-11-09;Дантист;місто Лиман ;набережна Байдарочний, буд. 77, Стебник, 11636;477 09 07;iosypsirko@example.net
Дутка;Надія;Іванівна;female;1955-05-09;Стиліст;село Ірміно;вулиця Нова, буд. 6 кв. 45, Дубляни, 83059;+380 (98) 853-93-10;mykolaiartiukh@example.com
Шухевич;Анжела;Юріївна;female;1960-02-08;Стиліст;селище Глухів;провулок Чернігівська, буд. 7, Золоте, 62168;+380 29 167 14 92;marianaieshchenko@example.net
Негода;Ярослава;Олександрівна;female;1949-10-20;Футболіст;хутір Липовець;парк Обсерваторний, буд. 11, Самбір, 76656;+380 98 970-12-29;qadamchuk@example.com
Короленко;Віталій;Ілліч;male;1945-11-02;Астрофізик;село Ковель;площа Будівельна, буд. 67 кв. 41, Зміїв, 33428;469 23 01;iemelianenkobohuslava@example.com
Палій;Марина;Юріївна;female;1939-03-23;Дизайнер;хутір Курахове;парк Селищна, буд. 306, Южне, 81376;059 740 55 87;bohdanhuz@example.org
Приймак;Болеслав;Максимович;male;2008-01-24;Історик;селище Старий Крим;провулок Валіховський, буд. 320 кв. 86, Яготин, 09386;008 69 41;klavdiiatverdokhlib@example.com
Яковенко;Ліза;Сергіївна;female;1969-01-19;Продюсер;хутір Попасна;парк Керченський 2-й, буд. 0, Радехів, 10958;+380 97 532-10-58;qsirko@example.org
Стус;Орися;Олегівна;female;1998-10-27;Адвокат;селище Жданівка;площа Бригадна, буд. 064 кв. 5, Яремче, 72583;+380 14 717-06-00;olesbabiuk@example.net
Андріїшин;Василь;Юрійович;male;1950-11-24;Мінералог;село Славута;провулок Сурикова 1-й, буд. 23, Алчевськ, 24845;065 445-31-91;vasylynaiarosh@example.net
Заєць;Прохір;Дмитрович;male;1953-11-29;Єгер;хутір Сніжне;узвіз Луценка Івана, буд. 1, Долинська, 36261;263 36 65;telizhenkostepan@example.org
Туркало;Борислав;Ілліч;male;1978-02-09;Лікар;хутір Семенівка;сквер Мічуріна, буд. 08 кв. 39, Корюківка, 39823;+380 (56) 810-99-24;yvakarchuk@example.net
Фесенко;Лукʼян;Миколайович;male;1997-06-22;Редактор;місто Рівне;вулиця Більшовицький, буд. 24 кв. 157, Коростишів, 73453;+380 44 692-92-75;jieremenko@example.net
Іванченко;Августин;Олегович;male;1974-12-06;Адвокат;місто Берестечко;шосе Курортний, буд. 31 кв. 4, Подільськ, 09442;+380 52 989 56 83;tereza65@example.net
Палій;Олександр;Максимович;male;1997-01-12;Редактор;село Шаргород;узвіз Сашка Хорошенка, буд. 0, Саки , 63105;751 40 68;parmen30@example.net
Ящук;Соломон;Сергійович;male;1968-03-14;Електротехнік;селище Чорноморськ;сквер Сашка Хорошенка, буд. 406, Вінниця, 01150;+380 36 193-36-04;lesykviktoriia@example.com
Гузій;Марія;Сергіївна;female;1973-08-08;Бізнесмен;хутір Заліщики;вулиця Перемоги, буд. 601 кв. 83, Покровськ, 89919;+380 16 695 86 72;pizhak@example.org
Килимник;Марʼяна;Олегівна;female;1980-10-28;Геолог;село Глобине;провулок Пугачова, буд. 522, Стрий, 88186;+380 01 070 31 13;havryshalevtyn@example.org
Вернигора;Мирон;Володимирович;male;1984-08-25;Музичний редактор;місто Ізюм;площа ім. С.Ю. Вітте, буд. 6 кв. 496, Волноваха, 53440;+380 63 794-64-15;htsushko@example.net
Чорновіл;Єва;Олександрівна;female;1944-10-23;Випробувач;селище Бережани;набережна Небесної Сотні, буд. 01, Миколаїв, 48121;729 39 93;vertyporokhkamilla@example.com
Жученко;Франц;Володимирович;male;1940-04-20;Євнух;село Старобільськ;вулиця Чорноморський 8-й, буд. 74 кв. 081, Карлівка, 36224;+380 00 926-15-58;demianiukdmytro@example.net
Усик;Орися;Олександрівна;female;1994-02-07;Ветеринар;хутір Черкаси;сквер Новаторів, буд. 550 кв. 9, Городня, 47116;+380 06 949-63-94;avhustyn61@example.org
Макогон;Вʼячеслав;Дмитрович;male;1996-03-24;Ді-джей;хутір Ізмаїл;узвіз Кристаловського, буд. 114, Виноградів, 80821;+380 04 537-95-27;dmytro38@example.net
Пилипенко;Ілля;Володимирович;male;1946-02-02;Хімік;село Калуш;вулиця Некрасова, буд. 470, Судак , 88577;+380 12 926-51-49;kabanenkomariia@example.com
Симоненко;Владислав;Васильович;male;1975-06-05;Правник;хутір Погребище;проспект Лазурний 4-й, буд. 368, Бар, 99938;+380 79 397-94-55;halynalahoda@example.com
Худяк;Марія;Степанівна;female;2006-07-25;Краєзнавець;село Канів;вулиця Тетяни Тесс, буд. 94, Тячів, 69534;046 179 75 79;mykolaiartym@example.net
Онуфрієнко;Макар;Володимирович;male;1953-08-10;Геолог;село Молочанськ;набережна Коцебу міст, буд. 406 кв. 636, Перевальськ, 44259;+380 97 256 25 85;sofiiasliusar@example.net
Вдовиченко;Лукʼян;Сергійович;male;1965-06-12;Візажист;селище Горохів;вулиця Новгородський, буд. 071, Мирноград, 62942;184 56 79;snizhanabandurka@example.com
Дутка;Зиновій;Олександрович;male;2004-05-27;Гицель;хутір Южноукраїнськ;провулок Іцхака Рабіна, буд. 5 кв. 4, Арциз, 87194;+380 (26) 212-05-17;mykhailychenkokamilla@example.org
Тригуб;Олесь;Юрійович;male;1965-01-17;Філолог;селище Географія Вільнянська;проспект Вапняне селище, буд. 36, Радивилів, 06814;447-25-54;mariiadeineko@example.org
Рябошапка;Клавдія;Юріївна;female;1966-09-27;Круп'є;селище Пирятин;шосе Новомосковська дорога, буд. 271 кв. 203, Довжанськ, 57842;004 345 95 74;daryna28@example.com
Яковенко;Юхим;Олегович;male;1986-05-26;Архітектор;хутір Бар;провулок Джутовий, буд. 96, Нове Давидково, 93846;474-17-06;analyvaiko@example.com
Вертипорох;Гаврило;Сергійович;male;1945-02-23;Фрілансер;село Могилів-Подільський;узвіз 11-та Лінія Марії Демченко, буд. 89 кв. 063, Пустомити, 11404;+380 58 368 96 96;iaroslava20@example.net
Сіробаба;Владислав;Максимович;male;1948-03-02;Сценарист;хутір Вижниця;сквер Флотський 3-й, буд. 172, Андрушівка, 49541;905-82-84;albertsliusar@example.org
Тригуб;Йосип;Юрійович;male;1939-08-30;Астрофізик;село Кілія;провулок Андреєвського, буд. 7, Нетішин, 38062;+380 30 047-02-45;kbaklan@example.com
Харченко;Зиновій;Миколайович;male;1975-04-29;Юрист;місто Щастя ;провулок Павлова, буд. 922, Косів, 35507;686-60-53;nestorlysenko@example.net
Шаповал;Болеслав;Анатолійович;male;1944-08-13;Антрополог;селище Знам'янка;набережна Торгова, буд. 547, Перечин, 97311;+380 47 266-89-76;okhrim91@example.org
Удовенко;Михайлина;Євгенівна;female;1945-07-23;Нотаріус;село Березівка;сквер Дачна, буд. 97 кв. 25, Камінь-Каширський, 26479;482-26-99;shyianazar@example.com
Верменич;Ярослав;Володимирович;male;1960-01-10;Менеджер;місто Красноперекопськ;площа Обільний 2-й, буд. 053, Новояворівськ, 24595;058 704-25-77;ftryhub@example.com
Фоменко;Анастасія;Богданівна;female;1978-12-29;Бібліотекар;село Славутич;проспект Марії Демченко 2-й, буд. 407, Зборів, 19826;+380 (36) 996-89-88;stepanriabovil@example.com
Іщак;Надія;Сергіївна;female;2006-08-05;Ді-джей;село Ізюм;вулиця Івасюка Володимира, буд. 4, Святогірськ, 60958;797 31 46;jzaruba@example.net
Ейбоженко;Франц;Степанович;male;2003-02-22;Мистецтвознавець;селище Богодухів;проспект Тимірязєва 5-й, буд. 0, Скалат, 51614;+380 92 349 44 95;deisunkamilla@example.net
Цюцюра;Марко;Васильович;male;1983-11-07;Біолог;хутір Ямпіль;площа Байкал тупик, буд. 03, Новомиргород, 58238;818-28-54;huzbohdanna@example.com
Свистун;Вікторія;Вікторівна;female;1965-09-25;Правник;хутір Селидове;проспект Скляна, буд. 6, Рава-Руська, 46005;001 096-34-68;sviatoslavazasiadko@example.com
Дробаха;Амалія;Олександрівна;female;1972-08-25;Бібліограф;хутір Яворів;шосе Паустовського, буд. 9, Апостолове, 38903;042 342-53-44;zasenkoiarema@example.org
Гавришкевич;Віра;Іванівна;female;1973-03-29;Палеонтолог;селище Тетіїв;шосе Першотравневий 1-й, буд. 553 кв. 72, Яготин, 51345;449 51 25;ilienkovadym@example.net
Свириденко;Адам;Євгенович;male;1948-01-30;Ювелір;хутір Умань;проспект 5-та Суворовська, буд. 24, Зборів, 64525;437-03-33;irena98@example.com
Перепелиця;Олесь;Олександрович;male;1956-11-24;Епідеміолог;селище Скалат;узвіз 7-ма Суворовська, буд. 7, Вугледар, 29357;+380 56 624-21-88;artymokhrim@example.net
Міщенко;Данило;Ілліч;male;1964-09-28;Нотаріус;місто Тернівка ;сквер Пісочний, буд. 5, Зеленодольськ, 34487;122-64-89;lysenkoleopold@example.com
Акуленко;Розалія;Анатоліївна;female;2005-05-10;Дипломат;хутір Підгородне;шосе 14-та Суворовська, буд. 8, Рогатин, 22525;+380 (97) 148-31-95;boleslav52@example.com
Лавренко;Аркадій;Володимирович;male;1986-11-17;Прокурор;хутір Судак ;шосе Вапняна, буд. 07, Хрестівка, 08311;524 27 58;qtsushko@example.net
Опанасенко;Світлана;Степанівна;female;2008-06-16;Модельєр;селище Новий Калинів;набережна Інтернаціональний, буд. 86 кв. 458, Кривий Ріг, 59009;811-75-76;virvanets@example.com
Чередник;Єва;Дмитрівна;female;1947-04-14;Історик;село Іршава;шосе Станційна 3-тя, буд. 137, Бобровиця, 48242;+380 01 897-94-26;iaroslav13@example.org
Чміль;Орест;Романович;male;1941-10-01;Програміст;селище Петрово-Красносілля;сквер Флотський 2-й, буд. 148 кв. 177, Конотоп, 07966;+380 74 190-03-00;prokhir36@example.net
Батюк;Миколай;Дмитрович;male;1943-02-10;Кур'єр;село Світловодськ;проспект Гагаріна, буд. 5, Дергачі, 23194;409-18-62;sirchenkohavrylo@example.org
Шиян;Захар;Євгенович;male;1950-08-08;Стиліст;селище Ладижин;площа Заводська 1-ша, буд. 0, Рахів, 48640;+380 95 668-85-34;kchumachenko@example.com
Деряжний;Соломон;Ілліч;male;2004-02-02;Кухар;селище Умань;провулок Сирітський 2-й, буд. 05, Сіверськ, 50568;+380 31 815-69-17;rebrykles@example.org
Ґжицький;Іван;Петрович;male;1959-07-16;Кінорежисер;місто Енергодар;площа Весела, буд. 053, Мелітополь, 77911;728-92-87;bohuslaviurchyshyn@example.net
Павличенко;Леонтій;Миколайович;male;1941-01-03;Психолог;село Чоп;проспект Хаджибейський 1-й, буд. 7, Яворів, 96083;+380 (39) 077-19-30;aronetshordii@example.org
Деревʼянко;Варвара;Сергіївна;female;1949-05-03;Мовознавець;село Козятин;проспект Учнівська, буд. 10, Ніжин, 03140;+380 (24) 727-91-64;vlasenkoolha@example.org
Стець;Остап;Романович;male;1997-03-04;Модельєр;селище Олевськ;узвіз Наявний 5-й, буд. 79, Кам'янка-Бузька, 28112;+380 29 637 17 31;volodymyr64@example.com
Ребрик;Максим;Анатолійович;male;1947-11-07;Візажист;місто Дрогобич;узвіз Рівний, буд. 693 кв. 347, Мена , 89692;079 522 05 92;ostap74@example.org
Бездітко;Софія;Степанівна;female;1995-04-12;Підприємець;хутір Євпаторія;сквер Ялинковий, буд. 205, Першотравенськ, 02471;075 463 08 03;myroslavfranko@example.org
Джунь;Августин;Олександрович;male;2004-12-11;Історик;хутір Семенівка;площа Перший Кришталевий, буд. 640 кв. 61, Кипуче, 28178;488 80 81;zzatula@example.net
Андріїшин;Василь;Олександрович;male;1996-02-01;Маркетолог;місто Золоте;узвіз Азовський, буд. 0, Заставна, 80282;940 02 92;ada95@example.net
Жарко;Пармен;Миколайович;male;1955-12-24;Паблік рилейшнз;хутір Чорнобиль;провулок Басейний 6-й, буд. 6 кв. 1, Рава-Руська, 18865;+380 40 048-11-80;uliashko@example.net
Смик;Валентин;Богданович;male;1949-12-15;Доцент;місто Калуш;сквер Дальницьке, буд. 4 кв. 501, Вилкове, 81652;+380 75 364-79-91;frantsrudyk@example.com
Даньків;Зиновій;Олександрович;male;1960-11-16;Будник;хутір Рівне;узвіз Стражеска Миколи, буд. 11, Дубровиця, 96148;+380 70 325 24 79;mazepamariia@example.org
Башполченко;Віолетта;Вікторівна;female;1945-11-23;Модель;місто Почаїв;проспект Шептицікого, буд. 4, Золотоноша, 39538;+380 22 287 11 22;nkyrylenko@example.net
Мазепа;Мілена;Олегівна;female;1957-06-23;Мірошник;село Нова Одеса;парк Миколи Боровського, буд. 615 кв. 154, Овруч, 61871;054 041 59 04;xiurchuk@example.com
Фурс;Ілля;Степанович;male;1966-03-10;Паралегал;хутір Помічна;вулиця Короткий, буд. 7 кв. 03, Південне , 40916;+380 (73) 640-40-99;roksolana28@example.net
Вернигора;Леонтій;Олександрович;male;1951-08-21;Бібліотекар;місто Белз;узвіз Троїцька, буд. 56 кв. 54, Мена , 66110;047 525-17-95;kolodubliudmyla@example.org
Михалюк;Варвара;Василівна;female;1952-05-16;Музикознавець;місто Кропивницький;узвіз Штурвальна, буд. 8, Ізюм, 56565;991-09-64;pustovitieva@example.net
Вертипорох;Лесь;Максимович;male;1974-06-08;Конструктор;хутір Великі Мости;шосе Лінія 48-ма, буд. 470 кв. 02, Жашків, 94281;082-54-50;yshcherbak@example.org
Височан;Віктор;Іванович;male;2004-08-13;Дерун;місто Сулимівка (Слов'янськ);вулиця Лінія 24-та, буд. 9 кв. 241, Білицьке, 16150;+380 67 686-36-55;gkashchenko@example.net
Романець;Анастасія;Сергіївна;female;1956-06-09;Епідеміолог;місто Берестечко;проспект Ямська, буд. 006, Чистякове, 82092;082 329-73-32;gsych@example.net
Івасюк;Леон;Миколайович;male;1984-04-26;Ветеринар;хутір Городенка;сквер Семафорний, буд. 008 кв. 60, Семенівка, 22748;522 32 42;tymofii49@example.org
Пустовіт;Петро;Ілліч;male;1962-12-28;Фармацевт;село Новий Розділ;набережна Пушкінська, буд. 8, Бурштин , 44386;945 95 17;panteleimonshvaika@example.org
Рябченко;Марко;Володимирович;male;1966-12-13;Режисер;місто Перемишляни;вулиця Маячний, буд. 492, Буча, 11774;+380 57 750 02 68;tymofii47@example.org
Ващук;Сніжана;Василівна;female;1989-04-04;Льотчик;хутір Звенигородка;вулиця В’ячеслава Чорновола, буд. 512 кв. 33, Євпаторія, 44312;068 646 23 80;iashchukada@example.net
Вертипорох;Гаврило;Васильович;male;1966-10-06;Намотувальник;село Чистякове;парк Шампанський, буд. 64, Соледар, 18547;+380 80 643-32-64;tkhomyk@example.com
Козаченко;Симон;Максимович;male;1975-01-20;Патологоанатом;місто Тростянець;площа Асташкіна, буд. 03, Збараж, 78731;+380 73 486-26-82;htereshchenko@example.com
Червоненко;Борислав;Петрович;male;2000-08-02;Дизайнер;село Судова Вишня;вулиця Хаджибейський 1-й, буд. 241 кв. 62, Гребінка, 48038;047 674 79 06;petrochubai@example.net
Носаченко;Борислав;Олександрович;male;1962-09-18;Фізик;село Приморськ (Україна);набережна Єрмака, буд. 18 кв. 138, Павлоград, 24071;040 282-19-93;marta16@example.com
Рак;Марина;Степанівна;female;1985-06-13;Бізнесмен;хутір Чернівці;провулок Пересипська 9-та, буд. 445, Городище , 04370;+380 17 368 67 54;arsenakulenko@example.com
Шморгун;Микита;Олександрович;male;1968-08-24;Археолог;село Ходорів;шосе Хлібна гавань, буд. 984, Керч, 42902;+380 (95) 591-78-35;ielysei82@example.org
Сомко;Петро;Євгенович;male;1984-12-25;Правник;село Долинська;вулиця Гімназична, буд. 2, Кілія, 77000;084 188-43-44;erika85@example.net
Єресько;Артем;Богданович;male;1995-02-09;Маркетолог;селище Жидачів;сквер Новоселів, буд. 648, Козятин, 03005;135 17 91;okhrimenkotereza@example.com
Даценко;Спас;Анатолійович;male;2007-10-26;Науковець;місто Коростишів;парк Палубний, буд. 65, Здолбунів, 80914;+380 77 604-68-70;gandriichuk@example.net
Сомко;Амалія;Василівна;female;1954-06-26;Соціолог;хутір Малин;проспект Хвойний, буд. 4 кв. 108, Ровеньки, 32014;197-52-78;vladyslavbarabash@example.net
Бараник;Макар;Сергійович;male;1965-02-17;Складальник;село Алушта;сквер Паустовського, буд. 7, Зимогір'я, 41464;+380 71 524-06-75;opanas90@example.org
Щириця;Володимир;Андрійович;male;1945-12-31;Інженер;селище Арциз;набережна Щоглова, буд. 73 кв. 13, Залізне, 90030;+380 (55) 100-12-54;kmykhaliuk@example.com
Алексеєнко;Ярослав;Іванович;male;1982-05-07;Кінолог;хутір Бурштин ;вулиця Колекційна, буд. 1, Кам'янець-Подільський, 23344;+380 (90) 943-09-02;nbairak@example.com
Мазепа;Петро;Олександрович;male;1998-03-18;Стропальник;хутір Ківерці;шосе Разумовська, буд. 6, Харків, 87951;+380 94 192-60-64;martyntiahnybok@example.net
Заєць;Павло;Олександрович;male;1946-03-09;Водій;селище Родинське;набережна Кипарисний 2-й, буд. 2, Батурин, 98632;050 871 82 77;oleksa10@example.org
Чумак;Христина;Миколаївна;female;1944-12-10;Головний меркшейдер;село Олевськ;вулиця Рибальська, буд. 012, Ніжин, 65021;064 727-29-88;vasyl75@example.org
Міщенко;Гордій;Дмитрович;male;1988-05-17;Мовознавець;місто Золочів;провулок Італійський, буд. 3, Білопілля, 29643;075 613-99-99;mskyrda@example.org
Іващенко;Олександр;Богданович;male;1939-01-15;Художник;хутір Мерефа;вулиця Гранатна, буд. 991, Глухів, 83584;713 93 15;albinadurdynets@example.org
Ґерус;Стефан;Максимович;male;2001-04-13;Клоун;селище Дубно;шосе Левадна, буд. 60 кв. 9, Сміла, 17842;+380 88 538-84-87;jbatiuk@example.org
Павленко;Ярема;Васильович;male;1941-05-30;Фермер;селище Гірник ;площа Ромашкова, буд. 425 кв. 12, Барвінкове, 59108;293-27-61;martynpoltavets@example.net
Свириденко;Наталія;Богданівна;female;1950-09-11;Астронавт;місто Горлівка;вулиця Вишнева, буд. 7, Кам'янка-Бузька, 08921;+380 66 462 19 20;iakivreva@example.com
Іваненко;Тарас;Ілліч;male;1947-12-25;Епідеміолог;місто Рахів;узвіз Вишневий, буд. 02, Молодогвардійськ, 49872;870-04-56;demianvysochan@example.net
Рева;Орест;Андрійович;male;1961-07-05;Слідчий;селище Шепетівка;провулок Левадна, буд. 91, Луганськ, 84152;018 211-20-55;dfranko@example.org
Шеремет;Марʼяна;Володимирівна;female;1972-06-25;Дерун;селище Дубно;парк Олександра Невського 5-й, буд. 59, Благовіщенське, 05414;394-95-15;svertyporokh@example.net
Євтушок;Ада;Володимирівна;female;1952-09-20;Ді-джей;селище Голубівка;проспект Гранатний, буд. 71, Сватове, 71532;011 602 58 73;oleksandr54@example.com
Дутка;Опанас;Сергійович;male;1958-10-01;Громадський діяч;селище Гірське;сквер Академіка Гаркавого, буд. 67 кв. 13, Гайворон, 57671;916-62-24;tnosachenko@example.net
Шаповал;Маруся;Петрівна;female;1970-06-22;Біолог;селище Помічна;площа Університетський, буд. 44, Олександрія, 02202;+380 (25) 832-17-82;psmyk@example.com
Дурдинець;Олесь;Степанович;male;1981-03-25;Кінолог;місто Берестечко;площа Палубна, буд. 58, Гірник , 13925;+380 16 324 62 23;vira18@example.net
Удовенко;Тимофій;Дмитрович;male;1978-01-27;Вчитель;місто Прилуки;вулиця Новосельского, буд. 8 кв. 4, Старий Крим, 75535;+380 19 935 21 54;ytovstolis@example.com
Даниленко;Трохим;Олександрович;male;1979-08-04;Науковець;хутір Вараш;вулиця Митракова, буд. 345, Красноперекопськ, 26358;+380 30 246-87-29;svystunbohuslav@example.com
Баранець;Стефан;Дмитрович;male;1973-08-20;Психолог;хутір Роздільна;набережна Іванова 2-й, буд. 376 кв. 6, Заставна, 30254;003 616 93 16;ztovstolis@example.org
Алексюк;Ярослава;Сергіївна;female;1977-04-05;Гицель;місто Ірпінь;провулок Уральська, буд. 2 кв. 547, Трускавець, 81852;061 451-95-07;zabaraveniiamyn@example.org
Щербань;Аарон;Сергійович;male;1972-05-04;Археолог;хутір Кривий Ріг;площа Тираспольська, буд. 08 кв. 163, Сніжне, 78441;831 56 21;verkhovynetsdemyd@example.org
Скопенко;Ростислав;Анатолійович;male;2005-02-22;Реставратор;місто Новоукраїнка;проспект Спартаківська, буд. 79 кв. 932, Перемишляни, 83321;+380 (42) 491-87-43;lsheremeta@example.net
Карпа;Марія;Сергіївна;female;1961-09-24;Психолог;хутір Донецьк;шосе Трудовий, буд. 9, Подільськ, 16166;000 787 44 36;nataliia49@example.net
Швайка;Марта;Євгенівна;female;1941-09-12;Фотограф;місто Кипуче;площа Молоді, буд. 91 кв. 03, Хрустальний, 74193;493-34-75;antonzakusylo@example.net
Сацюк;Андрій;Андрійович;male;1978-10-11;Акушер;село Мерефа;провулок Іцхака Рабіна, буд. 768, Горохів, 35229;+380 36 415-78-57;iustyna92@example.net
Ткаченко;Стефан;Романович;male;2003-07-18;Фермер;село Лохвиця;проспект Успенська, буд. 5, Верхівцеве, 13180;+380 07 010 64 00;borysbevzenko@example.org
Чаленко;Стефан;Олегович;male;1952-10-09;Швачка;місто Золочів;вулиця Уральський, буд. 3 кв. 8, Бахмут, 73942;889-11-61;csirobaba@example.org
